UF,Mun,Pop estimada 2021,Faixa_pop,Regiao
TO,Gurupi,88428,5 - 50001 até 100000,1 - Norte
TO,Ipueiras,2088,1 - Até 5000,1 - Norte
TO,Itacajá,7471,2 - 5001 até 10000,1 - Norte
TO,Itaguatins,5801,2 - 5001 até 10000,1 - Norte
TO,Itapiratins,3814,1 - Até 5000,1 - Norte
TO,Itaporã do Tocantins,2412,1 - Até 5000,1 - Norte
TO,Jaú do Tocantins,3906,1 - Até 5000,1 - Norte
TO,Juarina,2174,1 - Até 5000,1 - Norte
TO,Lagoa da Confusão,13989,3 - 10001 até 20000,1 - Norte
TO,Lagoa do Tocantins,4470,1 - Até 5000,1 - Norte
TO,Lajeado,3199,1 - Até 5000,1 - Norte
TO,Lavandeira,1984,1 - Até 5000,1 - Norte
TO,Lizarda,3727,1 - Até 5000,1 - Norte
TO,Luzinópolis,3200,1 - Até 5000,1 - Norte
TO,Marianópolis do Tocantins,5332,2 - 5001 até 10000,1 - Norte
TO,Mateiros,2773,1 - Até 5000,1 - Norte
TO,Maurilândia do Tocantins,3470,1 - Até 5000,1 - Norte
TO,Miracema do Tocantins,17628,3 - 10001 até 20000,1 - Norte
TO,Miranorte,13551,3 - 10001 até 20000,1 - Norte
TO,Monte do Carmo,8182,2 - 5001 até 10000,1 - Norte
TO,Monte Santo do Tocantins,2311,1 - Até 5000,1 - Norte
TO,Palmeiras do Tocantins,6830,2 - 5001 até 10000,1 - Norte
TO,Muricilândia,3623,1 - Até 5000,1 - Norte
TO,Natividade,9256,2 - 5001 até 10000,1 - Norte
TO,Nazaré,3772,1 - Até 5000,1 - Norte
TO,Nova Olinda,12014,3 - 10001 até 20000,1 - Norte
TO,Nova Rosalândia,4348,1 - Até 5000,1 - Norte
TO,Novo Acordo,4450,1 - Até 5000,1 - Norte
TO,Novo Alegre,2332,1 - Até 5000,1 - Norte
TO,Novo Jardim,2768,1 - Até 5000,1 - Norte
TO,Oliveira de Fátima,1124,1 - Até 5000,1 - Norte
TO,Palmeirante,6234,2 - 5001 até 10000,1 - Norte
TO,Palmeirópolis,7694,2 - 5001 até 10000,1 - Norte
TO,Paraíso do Tocantins,52521,5 - 50001 até 100000,1 - Norte
TO,Paranã,10426,3 - 10001 até 20000,1 - Norte
TO,Pau DArco,4885,1 - Até 5000,1 - Norte
TO,Pedro Afonso,13964,3 - 10001 até 20000,1 - Norte
TO,Peixe,11996,3 - 10001 até 20000,1 - Norte
TO,Pequizeiro,5546,2 - 5001 até 10000,1 - Norte
TO,Colméia,8078,2 - 5001 até 10000,1 - Norte
TO,Pindorama do Tocantins,4414,1 - Até 5000,1 - Norte
TO,Piraquê,3038,1 - Até 5000,1 - Norte
TO,Pium,7830,2 - 5001 até 10000,1 - Norte
TO,Ponte Alta do Bom Jesus,4586,1 - Até 5000,1 - Norte
TO,Ponte Alta do Tocantins,8192,2 - 5001 até 10000,1 - Norte
TO,Porto Alegre do Tocantins,3200,1 - Até 5000,1 - Norte
TO,Porto Nacional,53618,5 - 50001 até 100000,1 - Norte
TO,Praia Norte,8563,2 - 5001 até 10000,1 - Norte
TO,Presidente Kennedy,3668,1 - Até 5000,1 - Norte
TO,Pugmil,2746,1 - Até 5000,1 - Norte
TO,Recursolândia,4389,1 - Até 5000,1 - Norte
TO,Riachinho,4723,1 - Até 5000,1 - Norte
TO,Rio da Conceição,2211,1 - Até 5000,1 - Norte
TO,Rio dos Bois,2879,1 - Até 5000,1 - Norte
TO,Rio Sono,6498,2 - 5001 até 10000,1 - Norte
TO,Sampaio,4876,1 - Até 5000,1 - Norte
TO,Sandolândia,3371,1 - Até 5000,1 - Norte
